Mois,data science: (Dans tous les pays)
2004-01,10
2004-02,8
2004-03,9
2004-04,6
2004-05,6
2004-06,6
2004-07,6
2004-08,7
2004-09,7
2004-10,7
2004-11,6
2004-12,6
2005-01,8
2005-02,7
2005-03,6
2005-04,6
2005-05,6
2005-06,4
2005-07,5
2005-08,5
2005-09,6
2005-10,6
2005-11,5
2005-12,4
2006-01,5
2006-02,5
2006-03,5
2006-04,4
2006-05,5
2006-06,3
2006-07,3
2006-08,3
2006-09,5
2006-10,4
2006-11,4
2006-12,4
2007-01,5
2007-02,5
2007-03,5
2007-04,3
2007-05,4
2007-06,4
2007-07,4
2007-08,4
2007-09,4
2007-10,5
2007-11,5
2007-12,4
2008-01,5
2008-02,5
2008-03,4
2008-04,5
2008-05,3
2008-06,4
2008-07,3
2008-08,3
2008-09,5
2008-10,5
2008-11,4
2008-12,4
2009-01,4
2009-02,5
2009-03,5
2009-04,4
2009-05,4
2009-06,4
2009-07,3
2009-08,4
2009-09,5
2009-10,5
2009-11,5
2009-12,4
2010-01,5
2010-02,5
2010-03,4
2010-04,4
2010-05,4
2010-06,4
2010-07,3
2010-08,4
2010-09,5
2010-10,5
2010-11,5
2010-12,4
2011-01,5
2011-02,5
2011-03,4
2011-04,4
2011-05,4
2011-06,4
2011-07,4
2011-08,4
2011-09,5
2011-10,5
2011-11,5
2011-12,4
2012-01,5
2012-02,5
2012-03,5
2012-04,4
2012-05,4
2012-06,4
2012-07,4
2012-08,5
2012-09,7
2012-10,6
2012-11,6
2012-12,4
2013-01,6
2013-02,6
2013-03,5
2013-04,6
2013-05,6
2013-06,6
2013-07,5
2013-08,7
2013-09,9
2013-10,8
2013-11,8
2013-12,7
2014-01,10
2014-02,9
2014-03,9
2014-04,9
2014-05,9
2014-06,9
2014-07,9
2014-08,11
2014-09,13
2014-10,12
2014-11,12
2014-12,11
2015-01,13
2015-02,13
2015-03,14
2015-04,13
2015-05,13
2015-06,14
2015-07,13
2015-08,16
2015-09,20
2015-10,17
2015-11,16
2015-12,15
2016-01,17
2016-02,18
2016-03,18
2016-04,18
2016-05,19
2016-06,20
2016-07,18
2016-08,20
2016-09,26
2016-10,24
2016-11,25
2016-12,23
2017-01,30
2017-02,31
2017-03,32
2017-04,32
2017-05,32
2017-06,32
2017-07,32
2017-08,35
2017-09,39
2017-10,38
2017-11,38
2017-12,36
2018-01,43
2018-02,43
2018-03,42
2018-04,42
2018-05,45
2018-06,41
2018-07,44
2018-08,47
2018-09,51
2018-10,52
2018-11,51
2018-12,45
2019-01,54
2019-02,56
2019-03,57
2019-04,55
2019-05,56
2019-06,58
2019-07,61
2019-08,64
2019-09,71
2019-10,66
2019-11,68
2019-12,59
2020-01,70
2020-02,73
2020-03,64
2020-04,65
2020-05,69
2020-06,67
2020-07,69
2020-08,73
2020-09,75
2020-10,65
2020-11,55
2020-12,55
2021-01,59
2021-02,59
2021-03,59
2021-04,59
2021-05,62
2021-06,64
2021-07,64
2021-08,63
2021-09,68
2021-10,64
2021-11,65
2021-12,69
2022-01,85
2022-02,90
2022-03,91
2022-04,94
2022-05,89
2022-06,91
2022-07,94
2022-08,99
2022-09,100
2022-10,90
2022-11,92
2022-12,84
2023-01,92
2023-02,88
2023-03,95
2023-04,88
2023-05,94
2023-06,99
2023-07,96
